word,portion
kza,4.49
iza,3.37
nza,3.37
pbc,2.25
zkx,2.25
kzm,2.25
izo,2.25
rpb,2.25
zcr,2.25
zzn,2.25
bzf,2.25
jnk,2.25
mik,1.12
zjn,1.12
kzo,1.12
mpl,1.12
rnz,1.12
aui,1.12
zal,1.12
nnj,1.12
nil,1.12
sni,1.12
llr,1.12
ctb,1.12
zmn,1.12
akg,1.12
arb,1.12
zrh,1.12
kli,1.12
pzx,1.12
knl,1.12
xkz,1.12
ari,1.12
ily,1.12
zai,1.12
kph,1.12
klr,1.12
rnl,1.12
zrk,1.12
zrl,1.12
kmn,1.12
opz,1.12
rjn,1.12
hkv,1.12
hkl,1.12
ncr,1.12
apk,1.12
zuk,1.12
iln,1.12
zaz,1.12
rkn,1.12
ukg,1.12
lrp,1.12
rno,1.12
pzr,1.12
kzl,1.12
zmk,1.12
nfr,1.12
zan,1.12
zac,1.12
pbz,1.12
xkn,1.12
tky,1.12
kct,1.12
niz,1.12
acp,1.12
bzu,1.12
bzl,1.12
cpb,1.12
zub,1.12
ilz,1.12
cko,1.12
sbz,1.12
