word,portion
ng,6.39
an,3.98
on,3.46
oi,2.28
nh,2.15
uo,2.06
ha,1.97
th,1.88
ch,1.84
en,1.71
ua,1.71
ay,1.66
gi,1.62
hu,1.53
ho,1.4
un,1.36
io,1.27
da,1.09
la,1.09
at,1.05
ac,1.05
tr,0.96
ai,0.96
et,0.96
it,0.96
ba,0.92
ia,0.92
co,0.88
mo,0.88
ot,0.88
in,0.88
ao,0.88
de,0.79
he,0.74
va,0.7
kh,0.7
hi,0.7
ma,0.7
oc,0.7
do,0.66
au,0.61
gc,0.61
ie,0.61
gu,0.57
am,0.57
gl,0.57
ta,0.57
nt,0.57
na,0.57
nc,0.57
uy,0.57
hg,0.57
ad,0.53
im,0.53
tc,0.53
no,0.53
gt,0.53
ra,0.53
lu,0.53
gv,0.48
du,0.48
tt,0.48
uc,0.48
vu,0.48
sa,0.48
nn,0.48
gn,0.48
qu,0.44
ic,0.44
om,0.39
bi,0.39
gd,0.39
cn,0.39
ca,0.39
ig,0.39
ih,0.35
ti,0.35
me,0.35
id,0.35
tu,0.35
gm,0.35
ap,0.35
nb,0.31
ve,0.31
lo,0.31
ns,0.31
eu,0.31
cu,0.31
su,0.31
le,0.31
ro,0.31
ru,0.31
ye,0.31
gb,0.31
nd,0.31
tn,0.26
as,0.26
ug,0.26
is,0.26
nl,0.26
ga,0.26
mt,0.26
ir,0.26
yc,0.26
og,0.26
ec,0.26
cd,0.26
ol,0.22
ut,0.22
bo,0.22
nv,0.22
gk,0.22
di,0.22
ph,0.22
eg,0.22
oa,0.22
vo,0.22
re,0.22
al,0.22
il,0.22
to,0.18
ab,0.18
cg,0.18
ah,0.18
bu,0.18
ke,0.18
od,0.18
hd,0.18
md,0.18
ag,0.18
ov,0.18
ub,0.18
yd,0.18
hm,0.18
mg,0.18
av,0.18
mm,0.18
ib,0.13
gh,0.13
mn,0.13
iv,0.13
yt,0.13
mi,0.13
em,0.13
tv,0.13
ht,0.13
yg,0.13
op,0.13
up,0.13
nx,0.13
ml,0.13
ct,0.13
gr,0.13
li,0.13
yk,0.13
go,0.13
ix,0.13
tb,0.13
tl,0.13
so,0.13
vi,0.13
yn,0.13
xo,0.13
ur,0.13
us,0.09
nr,0.09
nk,0.09
ud,0.09
gs,0.09
ak,0.09
te,0.09
be,0.09
nu,0.09
pn,0.09
pv,0.09
mu,0.09
tg,0.09
ps,0.09
ed,0.09
ek,0.09
uv,0.09
ax,0.09
nq,0.09
yv,0.09
eo,0.09
cq,0.09
cc,0.09
cx,0.09
xa,0.09
hc,0.09
cb,0.09
ux,0.09
uk,0.09
mb,0.04
hr,0.04
es,0.04
yb,0.04
ul,0.04
yr,0.04
hk,0.04
cm,0.04
tp,0.04
pc,0.04
ik,0.04
uu,0.04
iu,0.04
ev,0.04
aa,0.04
cv,0.04
tm,0.04
ms,0.04
xu,0.04
cp,0.04
hv,0.04
oh,0.04
si,0.04
ts,0.04
eb,0.04
ob,0.04
um,0.04
ni,0.04
oe,0.04
uh,0.04
ym,0.04
pm,0.04
mv,0.04
ky,0.04
ip,0.04
mk,0.04
ki,0.04
yl,0.04
or,0.04
mc,0.04
pg,0.04
tq,0.04
pt,0.04
gq,0.04
iq,0.04
cl,0.04
ui,0.04
cs,0.04
pb,0.04
oo,0.04
hh,0.04
ep,0.04
mp,0.04
oq,0.04
hn,0.04
el,0.04
